item,keyword,unit_cost,market_price_cap,shoppable,logistics,cert,expansion,notes
무타공 욕실선반,무타공선반,6000,30000,10,10,10,5,1차10종 · 유일한 명확 상승
경추베개,경추베개,12000,50000,10,9,10,5,1차10종 · YoY +24% 검증
보행보조기,보행보조기,55000,200000,10,4,7,3,1차10종 · 2년 무진폭 고단가
다리베개,다리베개,11000,55000,10,8,10,4,1차10종 · 경추베개 세트
러닝벨트,러닝벨트,4500,25000,10,10,10,5,1차10종 · 2년 연속 우상향
욕실 실리콘 물막이,욕실물막이,4000,22000,10,10,10,3,1차10종 · 위탁 시작 1순위
밀대 청소포 리필,밀대청소포,5000,28000,10,9,10,5,1차10종 · 재구매 구조
욕실 안전손잡이,욕실안전손잡이,7000,35000,10,9,10,4,1차10종 · 시니어 4종 중 하나
극세사 타월 벌크,극세사타월,9000,40000,9,8,10,4,1차10종 · 숙박업 B2B
IPL 제모기,IPL제모기,45000,180000,10,7,0,3,1차10종 · YoY +55% 단 KC 필수
피클볼 라켓세트,피클볼라켓,18000,80000,10,9,10,5,2차10종 · YoY +86% 최우선
캠핑웨건,캠핑웨건,42000,150000,10,3,8,3,2차10종 · YoY +23% 역주행
전기자전거 거치대,자전거거치대,8000,40000,10,9,8,4,2차10종 · 본체 우회 액세서리
자전거 헬멧,자전거헬멧,13000,55000,10,7,5,4,2차10종 · 안전인증 확인 필요
무릎보호대,무릎보호대,5000,25000,10,10,6,5,2차10종 · 효능 표현 금지
골프장갑,골프장갑,6000,28000,10,10,10,5,2차10종 · 소모품 재구매
낚시 수납가방,낚시용품,12000,55000,10,7,9,4,2차10종 · 8-10월 피크
반려견 유모차,강아지유모차,55000,190000,10,3,8,3,2차10종 · 고단가 축
테니스 그립테이프,테니스라켓,3000,15000,10,10,10,4,2차10종 · 피클볼 보조 SKU
손목보호대,손목보호대,4000,20000,10,10,6,5,2차10종 · 무릎과 3종 세트
