rank,tier,kw,cat,total,DI,peak_m,order_m,seas,mom,P,tc20,tc30,mult20,profit20,size,ship,fee,barr_ko,cert,lev_ko,s_dem,s_ease,s_barr,s_marg
1,S,이유식마스터기,유아,87.5,7.9,25-08,6월,1.39,-33.8,89000,45700,37609,1.95,16181,M,3500,12.9,전기용품KC · 어린이제품KC · 식약처 수입신고,전기+어린이+식품용기구,리뷰공백+가격우위,29.6,17.9,20,20
2,S,폴더매트,유아,82.7,11.3,25-10,8월,1.75,-44.4,145000,71158,57976,2.04,26363,XL,9000,12.9,어린이제품KC · 부피·물류 · 초기자본,어린이제품 안전확인,리뷰공백+가격우위,30,16.0,17,19.6
3,S,짐벌,PC/모바일,80.6,12.4,25-09,7월,1.3,-36.5,129000,70651,58924,1.83,23454,M,3500,10.7,전파인증KC · 안전확인 · 초기자본,전파+배터리,리뷰공백+가격우위,30,15.6,15,20
4,S,고양이자동화장실,반려동물,80.1,13.7,25-08,6월,1.67,-40.3,380000,201530,166985,1.89,69090,L,5500,13.7,초기자본 · 전기용품KC · 부피·물류,전기용품 안전확인,가격우위+리뷰공백,30,15.1,15,20
5,S,와플메이커,주방,80.0,9.4,26-01,11월,1.83,-55.7,39000,17747,14202,2.2,7090,M,3500,13.7,전기용품KC · 식약처 수입신고 · 시즌선매입,전기용품+식품용기구,리뷰공백+썸네일 차별화,30,17.0,15,18.0
6,S,루프박스,자동차,79.8,9.7,25-08,6월,1.65,-56.4,280000,145789,120334,1.92,50909,XL,9000,12.9,초기자본 · 부피·물류 · 규격분화,-,리뷰공백+가격우위,30,16.8,13,20
7,S,LED마스크,뷰티,78.1,7.8,26-03,1월,1.29,-23.8,189000,99470,82288,1.9,34363,M,3500,13.7,전기용품KC · 초기자본,전기용품(의료기기 표방 금지),리뷰공백+가격우위,29.2,18.0,11,20
8,S,아기식판,유아,77.6,9.1,26-01,11월,1.33,-7.9,22000,9362,7361,2.35,4000,S,2800,12.9,식약처 수입신고 · 어린이제품KC,식품용기구+어린이제품,가격우위+썸네일 차별화,30,17.1,14,16.5
9,S,미니제습기,계절가전,77.2,19.7,26-07,5월,2.62,57.7,79000,41910,34728,1.88,14363,M,3500,10.7,전기용품KC · 시즌선매입 · 초기자본,전기용품 안전확인,가격우위+리뷰공백,30,13.2,14,20
10,S,차량용공기청정기,자동차,76.7,13.6,26-04,2월,2.02,15.1,45000,22076,17985,2.04,8181,S,2800,12.9,전기용품KC · 전파인증KC,전기용품+전파,리뷰공백+썸네일 차별화,30,15.1,12,19.6
11,S,강아지드라이룸,반려동물,76.6,5.9,25-08,6월,1.14,-15.5,250000,127204,104477,1.97,45454,XL,9000,13.7,초기자본 · 전기용품KC · 부피·물류,전기용품 안전확인,리뷰공백+가격우위,22.3,19.4,15,20
12,S,자동급식기,반려동물,76.4,11.7,25-08,6월,1.64,-63.7,45000,21016,16925,2.14,8181,M,3500,13.7,전기용품KC · 전파인증KC,전기용품 안전확인+전파,가격우위+리뷰공백,30,15.8,12,18.6
13,S,캠핑난로,캠핑,76.4,14.0,25-10,8월,3.11,-89.1,95000,46257,37621,2.05,17272,L,5500,13.7,안전확인 · 시즌선매입 · 초기자본,가스/전열 안전확인,리뷰공백+가격우위,30,14.9,12,19.5
14,S,주니어카시트,유아,76.3,38.6,25-08,6월,1.25,-23.2,145000,71158,57976,2.04,26363,XL,9000,12.9,어린이제품KC · 초기자본 · 부피·물류,어린이제품(자동차부품 KC),리뷰공백+가격우위,30,9.7,17,19.6
15,S,전동릴,낚시/아웃도어,76.2,7.1,25-08,6월,1.83,-50.8,320000,170841,141750,1.87,58181,M,3500,13.7,초기자본 · 전기용품KC,전기용품 안전확인,리뷰공백+가격우위,26.8,18.4,11,20
16,S,캠핑선풍기,캠핑,76.1,13.5,25-08,6월,3.04,20.0,39000,17747,14202,2.2,7090,M,3500,13.7,전기용품KC · 안전확인 · 시즌선매입,전기용품+배터리,가격우위+썸네일 차별화,30,15.1,13,18.0
17,S,차박텐트,캠핑,76.0,20.3,25-10,8월,1.46,-33.9,145000,73498,60316,1.97,26363,L,5500,13.7,초기자본 · 부피·물류 · 규격분화,-,가격우위+리뷰공백,30,13.0,13,20
18,S,자전거캐리어,자전거,75.8,6.6,25-09,7월,1.48,-35.7,89000,42988,34897,2.07,16181,L,5500,13.7,부피·물류 · 규격분화 · 초기자본,-,리뷰공백+가격우위,24.7,18.8,13,19.3
19,S,인라인스케이트,낚시/아웃도어,75.6,34.4,26-04,2월,1.34,-17.6,89000,42988,34897,2.07,16181,L,5500,13.7,규격분화 · 어린이제품KC · 부피·물류,어린이제품 안전확인,리뷰공백+가격우위,30,10.3,16,19.3
20,S,공구세트,공구,75.4,9.0,25-08,6월,1.38,-38.9,55000,26464,21464,2.08,10000,M,3500,13.7,부피·물류 · 초기자본,-,가격우위+썸네일 차별화,30,17.2,9,19.2
21,A,발온열기,계절가전,75.3,7.6,26-01,11월,3.37,-76.7,45000,22366,18275,2.01,8181,M,3500,10.7,전기용품KC · 시즌선매입,전열기구 안전인증,리뷰공백+가격우위,28.3,18.1,9,19.9
22,A,골프거리측정기,골프,75.2,35.0,26-05,3월,1.49,14.8,189000,100170,82988,1.89,34363,S,2800,13.7,전기용품KC · 안전확인 · 초기자본,전기용품+레이저안전,리뷰공백+가격우위,30,10.2,15,20
23,A,에그쿠커,주방,74.7,7.3,25-09,7월,1.34,-1.8,25000,10820,8547,2.31,4545,S,2800,13.7,전기용품KC · 식약처 수입신고,전기용품+식품용기구,리뷰공백+썸네일 차별화,27.5,18.3,12,16.9
24,A,등산배낭,낚시/아웃도어,74.4,11.9,26-04,2월,2.07,31.1,65000,31913,26004,2.04,11818,M,3500,13.7,규격분화 · 초기자본,-,가격우위+썸네일 차별화,30,15.8,9,19.6
25,A,캠핑릴선,캠핑,73.5,10.1,25-09,7월,2.37,-66.3,38000,17203,13748,2.21,6909,M,3500,13.7,전기용품KC · 시즌선매입,전기용품 안전확인,리뷰공백+가격우위,30,16.6,9,17.9
26,A,유리밀폐용기,주방,73.3,10.7,25-08,6월,1.66,-47.1,32000,13934,11025,2.3,5818,M,3500,13.7,식약처 수입신고 · 부피·물류,식품용기구 수입신고,가격우위+썸네일 차별화,30,16.3,10,17.0
27,A,차박매트,자동차,72.9,12.7,25-09,7월,1.35,-9.7,85000,41489,33762,2.05,15454,L,5500,12.9,부피·물류 · 규격분화,-,가격우위+썸네일 차별화,30,15.4,8,19.5
28,A,우유거품기,주방,72.8,11.5,25-12,10월,1.58,-46.5,19000,7551,5824,2.52,3454,S,2800,13.7,전기용품KC · 식약처 수입신고,전기용품+식품용기구,가격우위+썸네일 차별화,30,16.0,12,14.8
29,A,캠핑랜턴,캠핑,72.3,14.8,25-10,8월,1.88,-52.1,29000,12999,10363,2.23,5272,S,2800,13.7,전기용품KC · 안전확인,배터리 안전확인,썸네일 차별화+리뷰공백,30,14.6,10,17.7
30,A,태클박스,낚시/아웃도어,72.2,12.2,25-09,7월,2.2,-63.7,45000,21016,16925,2.14,8181,M,3500,13.7,부피·물류 · 규격분화,-,가격우위+썸네일 차별화,30,15.6,8,18.6
31,A,골프백,골프,71.7,40.5,25-09,7월,1.23,-25.3,145000,69998,56816,2.07,26363,XL,9000,13.7,부피·물류 · 초기자본 · 규격분화,-,가격우위+썸네일 차별화,30,9.4,13,19.3
32,A,웹캠,PC/모바일,71.7,12.2,26-03,1월,1.15,0.2,39000,19617,16072,1.99,7090,S,2800,10.7,전파인증KC,전파적합성(KC),리뷰공백+썸네일 차별화,30,15.7,6,20
33,A,자동차시트커버,자동차,71.3,12.9,25-08,6월,1.63,-30.1,55000,24904,19904,2.21,10000,L,5500,12.9,규격분화 · 부피·물류,-,가격우위+썸네일 차별화,30,15.4,8,17.9
34,A,무선선풍기,계절가전,71.1,46.1,26-05,3월,3.01,244.0,39000,18917,15372,2.06,7090,M,3500,10.7,전기용품KC · 안전확인 · 시즌선매입,전기용품+배터리,가격우위+썸네일 차별화,30,8.8,13,19.4
35,A,전기요,계절가전,70.9,25.0,25-11,9월,3.32,-91.7,55000,28114,23114,1.96,10000,M,3500,10.7,전기용품KC · 시즌선매입,전열기구 안전인증,리뷰공백+가격우위,30,11.9,9,20
36,A,서큘레이터,계절가전,70.8,45.6,26-05,3월,2.47,155.5,55000,26114,21114,2.11,10000,L,5500,10.7,전기용품KC · 시즌선매입 · 부피·물류,전기용품 안전확인,가격우위+리뷰공백,30,8.8,13,18.9
37,A,전동드라이버,공구,70.2,26.5,26-01,11월,1.17,-18.3,45000,21016,16925,2.14,8181,M,3500,13.7,전기용품KC · 안전확인,전기용품+배터리,가격우위+리뷰공백,30,11.6,10,18.6
38,A,온수매트,계절가전,70.1,77.7,25-10,8월,3.52,-91.6,129000,68651,56924,1.88,23454,L,5500,10.7,전기용품KC · 시즌선매입 · 초기자본,전열기구 안전인증,리뷰공백+가격우위,30,6.1,14,20
39,A,캠핑화로대,캠핑,70.0,15.6,25-09,7월,1.91,-53.3,45000,21016,16925,2.14,8181,M,3500,13.7,부피·물류 · 시즌선매입,-,가격우위+썸네일 차별화,30,14.4,7,18.6
40,A,열풍기,공구,70.0,20.2,25-12,10월,2.51,-51.0,39000,17747,14202,2.2,7090,M,3500,13.7,전기용품KC · 시즌선매입,전기용품 안전확인,가격우위+리뷰공백,30,13.0,9,18.0
41,A,마사지건,홈트,69.8,35.8,25-08,6월,1.53,-32.8,55000,27164,22164,2.02,10000,S,2800,13.7,전기용품KC · 안전확인,전기용품+배터리,가격우위+썸네일 차별화,30,10.1,10,19.8
42,A,원목도마,주방,69.8,8.3,25-09,7월,1.57,-52.9,28000,11754,9209,2.38,5090,M,3500,13.7,식약처 수입신고,식품용기구+목재검역,가격우위+썸네일 차별화,30,17.6,6,16.2
43,A,강아지유모차,반려동물,69.5,32.5,25-08,6월,1.39,-22.5,120000,59878,48969,2.0,21818,L,5500,13.7,초기자본 · 부피·물류,-,가격우위+썸네일 차별화,30,10.6,9,20.0
44,A,여행용캐리어,낚시/아웃도어,69.2,46.4,25-08,6월,1.83,-57.4,89000,39488,31397,2.25,16181,XL,9000,13.7,부피·물류 · 초기자본 · 규격분화,-,가격우위+썸네일 차별화,30,8.7,13,17.5
45,A,야전침대,캠핑,69.0,28.8,25-08,6월,1.47,-33.2,75000,35361,28543,2.12,13636,L,5500,13.7,부피·물류 · 초기자본,-,가격우위+리뷰공백,30,11.2,9,18.8
46,A,아기욕조,유아,68.8,29.2,26-01,11월,1.13,-7.9,39000,16059,12514,2.43,7090,L,5500,12.9,어린이제품KC · 부피·물류,어린이제품 안전확인,가격우위+썸네일 차별화,30,11.1,12,15.7
47,A,실리콘조리도구,주방,68.2,7.9,26-01,11월,1.52,-47.3,19000,7551,5824,2.52,3454,S,2800,13.7,식약처 수입신고,식품용기구 수입신고,가격우위+썸네일 차별화,29.4,17.9,6,14.8
48,A,두피마사지기,뷰티,68.2,38.3,25-09,7월,1.52,-52.1,35000,16268,13086,2.15,6363,S,2800,13.7,전기용품KC · 안전확인,전기용품+배터리,가격우위+썸네일 차별화,30,9.7,10,18.5
49,A,캠핑타프,캠핑,67.8,4.0,26-05,3월,1.71,0.4,89000,42988,34897,2.07,16181,L,5500,13.7,부피·물류 · 초기자본 · 시즌선매입,-,가격우위+썸네일 차별화,15.1,21.4,12,19.3
50,A,무선충전패드,PC/모바일,67.8,4.7,26-03,1월,1.26,-23.4,22000,9846,7845,2.23,4000,S,2800,10.7,전파인증KC · 전기용품KC,전파+전기용품,가격우위+썸네일 차별화,17.5,20.6,12,17.7
51,B,철봉,홈트,67.7,26.0,26-01,11월,1.28,-13.4,39000,17747,14202,2.2,7090,M,3500,13.7,부피·물류 · 안전확인,자율안전확인,가격우위+리뷰공백,30,11.7,8,18.0
52,B,다용도선반,욕실/수납,67.7,6.2,25-11,9월,1.62,-28.4,45000,19016,14925,2.37,8181,L,5500,13.7,부피·물류 · 초기자본,-,가격우위+리뷰공백,23.2,19.2,9,16.3
53,B,자동차햇빛가리개,자동차,67.6,11.3,26-06,4월,1.99,103.8,22000,8662,6661,2.54,4000,M,3500,12.9,규격분화 · 시즌선매입,-,가격우위+썸네일 차별화,30,16.0,7,14.6
54,B,밸런스보드,홈트,67.5,10.3,25-09,7월,1.27,-39.5,32000,13934,11025,2.3,5818,M,3500,13.7,부피·물류,-,썸네일 차별화+가격우위,30,16.5,4,17.0
55,B,원터치텐트,캠핑,67.2,67.9,26-05,3월,1.89,-1.9,69000,32092,25819,2.15,12545,L,5500,13.7,부피·물류 · 시즌선매입 · 초기자본,-,가격우위+썸네일 차별화,30,6.7,12,18.5
56,B,벽걸이선반,욕실/수납,66.7,8.7,26-03,1월,1.2,-28.7,25000,10120,7847,2.47,4545,M,3500,13.7,부피·물류,-,썸네일 차별화+가격우위,30,17.4,4,15.3
57,B,자전거라이트,자전거,66.5,14.4,26-04,2월,1.84,-32.5,29000,12999,10363,2.23,5272,S,2800,13.7,안전확인,배터리 안전확인,썸네일 차별화+리뷰공백,30,14.8,4,17.7
58,B,골프스윙연습기,골프,66.5,16.9,26-03,1월,1.32,-8.8,45000,21016,16925,2.14,8181,M,3500,13.7,부피·물류,-,썸네일 차별화+가격우위,30,13.9,4,18.6
59,B,차량용무선충전거치대,자동차,66.4,4.6,26-01,11월,1.42,-10.3,32000,14890,11981,2.15,5818,S,2800,12.9,전파인증KC · 규격분화,전파적합성(KC),리뷰공백+썸네일 차별화,17.2,20.7,10,18.5
60,B,기계식키보드,PC/모바일,66.4,73.0,25-09,7월,2.17,-60.5,65000,33863,27954,1.92,11818,M,3500,10.7,전파인증KC · 규격분화,전파적합성(KC),썸네일 차별화+리뷰공백,30,6.4,10,20
61,B,트렁크정리함,자동차,65.7,24.8,25-09,7월,1.31,-37.8,25000,10320,8047,2.42,4545,M,3500,12.9,부피·물류 · 규격분화,-,가격우위+썸네일 차별화,30,12.0,8,15.8
62,B,USB허브,PC/모바일,65.3,30.4,26-03,1월,1.52,-6.4,25000,11570,9297,2.16,4545,S,2800,10.7,전파인증KC,전파적합성(KC),가격우위+썸네일 차별화,30,10.9,6,18.4
63,B,전동후추그라인더,주방,65.2,4.0,25-11,9월,1.21,-20.1,25000,10820,8547,2.31,4545,S,2800,13.7,전기용품KC · 식약처 수입신고,전기용품+식품용기구,리뷰공백+썸네일 차별화,14.8,21.5,12,16.9
64,B,퍼팅매트,골프,64.6,4.6,25-08,6월,1.63,-57.7,55000,24464,19464,2.25,10000,L,5500,13.7,부피·물류 · 초기자본,-,가격우위+썸네일 차별화,17.4,20.6,9,17.5
65,B,모니터암,PC/모바일,64.4,81.2,25-08,6월,1.68,-39.0,55000,28114,23114,1.96,10000,M,3500,10.7,부피·물류 · 초기자본,-,가격우위+리뷰공백,29.6,5.8,9,20
66,B,레이저수평계,공구,64.1,3.1,26-03,1월,1.36,-11.0,65000,31913,26004,2.04,11818,M,3500,13.7,전기용품KC · 안전확인,전기용품+레이저안전,리뷰공백+가격우위,11.8,22.7,10,19.6
67,B,서랍정리함,욕실/수납,64.0,12.0,25-08,6월,1.21,-34.2,18000,7006,5370,2.57,3272,S,2800,13.7,부피·물류,-,가격우위+썸네일 차별화,30,15.7,4,14.3
68,B,어군탐지기,낚시/아웃도어,63.8,2.3,26-01,11월,1.72,-25.7,250000,132704,109977,1.88,45454,M,3500,13.7,전파인증KC · 초기자본,전파적합성(KC),리뷰공백+가격우위,8.5,24.4,11,20
69,B,캠핑테이블,캠핑,63.4,51.7,26-04,2월,1.42,-33.0,65000,29913,24004,2.17,11818,L,5500,13.7,부피·물류 · 시즌선매입,-,가격우위+썸네일 차별화,30,8.2,7,18.3
70,B,고데기,뷰티,63.2,49.5,25-08,6월,1.23,-24.7,39000,18447,14902,2.11,7090,S,2800,13.7,전기용품KC,전기용품 안전확인,가격우위+썸네일 차별화,30,8.4,6,18.9
71,B,차량용청소기,자동차,62.9,48.6,26-07,5월,1.34,-2.6,39000,18059,14514,2.16,7090,M,3500,12.9,전기용품KC,전기용품 안전확인,가격우위+리뷰공백,30,8.5,6,18.4
72,B,헤드랜턴,낚시/아웃도어,62.6,26.1,25-10,8월,1.28,-31.4,25000,10820,8547,2.31,4545,S,2800,13.7,안전확인,배터리 안전확인,썸네일 차별화+리뷰공백,30,11.7,4,16.9
73,B,아이스박스,캠핑,62.0,71.1,25-08,6월,1.95,18.0,68000,31547,25365,2.16,12363,L,5500,13.7,부피·물류 · 시즌선매입,-,가격우위+썸네일 차별화,30,6.5,7,18.4
74,B,고양이스크래쳐,반려동물,61.8,10.6,25-08,6월,1.75,-55.8,18000,6306,4670,2.85,3272,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,30,16.4,4,11.5
75,B,자전거자물쇠,자전거,61.7,14.3,26-04,2월,1.27,-22.6,25000,10820,8547,2.31,4545,S,2800,13.7,,-,썸네일 차별화+가격우위,30,14.8,0,16.9
76,B,캠핑의자,캠핑,61.6,77.8,26-05,3월,1.52,-7.2,45000,21016,16925,2.14,8181,M,3500,13.7,부피·물류 · 시즌선매입,-,가격우위+썸네일 차별화,30,6.0,7,18.6
77,B,낚시좌대,낚시/아웃도어,61.5,2.2,25-10,8월,1.68,-57.0,180000,89067,72703,2.02,32727,XL,9000,13.7,부피·물류 · 초기자본,-,리뷰공백+가격우위,8.1,24.6,9,19.8
78,B,신발정리대,욕실/수납,61.2,19.6,25-08,6월,1.39,-55.0,22000,8486,6485,2.59,4000,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,30,13.2,4,14.1
79,B,압축팩,욕실/수납,61.1,10.9,25-08,6월,1.21,-33.6,19000,7551,5824,2.52,3454,S,2800,13.7,,-,가격우위+썸네일 차별화,30,16.2,0,14.8
80,B,스노클링장비,낚시/아웃도어,60.6,3.4,25-08,6월,2.47,26.6,45000,21016,16925,2.14,8181,M,3500,13.7,시즌선매입 · 규격분화,-,썸네일 차별화+가격우위,12.7,22.3,7,18.6
81,C,욕실선반,욕실/수납,60.5,35.5,25-08,6월,1.52,-26.3,29000,12299,9663,2.36,5272,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,30,10.1,4,16.4
82,C,등산스틱,낚시/아웃도어,59.7,51.5,25-11,9월,1.42,-36.7,35000,15568,12386,2.25,6363,M,3500,13.7,규격분화,-,가격우위+썸네일 차별화,30,8.2,4,17.5
83,C,강아지계단,반려동물,59.6,48.3,25-08,6월,1.46,-50.0,32000,13934,11025,2.3,5818,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,30,8.5,4,17.0
84,C,캣타워,반려동물,59.5,53.9,25-10,8월,1.41,-33.5,55000,24464,19464,2.25,10000,L,5500,13.7,부피·물류,-,가격우위+썸네일 차별화,30,7.9,4,17.5
85,C,노트북거치대,PC/모바일,59.5,62.9,26-03,1월,1.28,-19.3,25000,11570,9297,2.16,4545,S,2800,10.7,규격분화,-,썸네일 차별화+가격우위,30,7.1,4,18.4
86,C,샤워기필터,욕실/수납,59.3,41.7,25-08,6월,1.48,-36.1,22000,9186,7185,2.39,4000,S,2800,13.7,안전확인,-,가격우위+리뷰공백,30,9.3,4,16.1
87,C,스텝퍼,홈트,58.9,90.7,26-02,12월,1.39,-27.9,55000,26464,21464,2.08,10000,M,3500,13.7,부피·물류 · 안전확인,자율안전확인,가격우위+리뷰공백,26.5,5.3,8,19.2
88,C,덤벨세트,홈트,58.3,2.9,25-08,6월,1.67,-42.8,65000,26413,20504,2.46,11818,XL,9000,13.7,부피·물류 · 초기자본,-,가격우위+리뷰공백,10.8,23.1,9,15.4
89,C,케틀벨,홈트,57.3,23.1,26-07,5월,1.16,10.6,45000,15516,11425,2.9,8181,XL,9000,13.7,부피·물류,-,가격우위+리뷰공백,30,12.3,4,11.0
90,C,네일램프,뷰티,57.3,2.7,25-08,6월,1.46,-35.2,29000,12999,10363,2.23,5272,S,2800,13.7,전기용품KC,전기용품 안전확인,리뷰공백+썸네일 차별화,10.2,23.4,6,17.7
91,C,강아지발톱깎이,반려동물,57.1,5.0,26-01,11월,1.37,28.1,15000,5372,4008,2.79,2727,S,2800,13.7,전기용품KC,전기용품(그라인더형),썸네일 차별화+리뷰공백,18.8,20.2,6,12.1
92,C,고양이터널,반려동물,55.7,4.5,25-08,6월,1.32,-29.4,22000,8486,6485,2.59,4000,M,3500,13.7,부피·물류,-,썸네일 차별화,16.7,20.8,4,14.1
93,C,스마트키케이스,자동차,55.6,4.1,25-11,9월,1.94,-47.6,18000,7150,5514,2.52,3272,S,2800,12.9,규격분화,-,썸네일 차별화,15.5,21.2,4,14.8
94,C,자동차도어가드,자동차,55.6,5.0,26-03,1월,1.24,5.7,15000,5492,4128,2.73,2727,S,2800,12.9,규격분화,-,썸네일 차별화,18.6,20.3,4,12.7
95,C,요가매트,홈트,55.0,80.6,25-08,6월,1.24,-9.7,25000,10120,7847,2.47,4545,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,29.8,5.9,4,15.3
96,C,옷장정리함,욕실/수납,54.4,3.5,26-03,1월,1.36,-33.1,25000,10120,7847,2.47,4545,M,3500,13.7,부피·물류,-,가격우위+썸네일 차별화,13.0,22.2,4,15.3
