키워드,수요지수DI(요가매트 25-08=100),2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08
보조배터리,242.01,278.08,362.69,318.94,242.5,253.22,283.67,219.94,229.15,217.17,203.03,189.43,193.3,155.03
블루투스스피커,175.32,243.03,377.36,289.19,133.02,189.01,226.88,153.02,138.54,118.18,107.16,101.15,108.06,94.61
실내자전거,139.16,168.3,141.17,140.18,157.2,204.93,198.25,148.29,147.23,115.47,105.91,96.3,102.42,83.41
빨래건조대,114.88,115.02,108.11,115.37,124.34,121.36,124.48,124.11,134.09,107.33,109.44,103.29,115.07,91.41
스텝퍼,90.68,105.49,89.37,80.37,82.65,111.91,123.73,125.98,102.18,87.93,70.94,60.6,80.77,56.97
폼롤러,82.11,118.83,95.66,68.5,62.62,61.62,82.24,66.54,88.26,94.6,81.29,81.0,85.92,80.38
모니터암,81.16,136.2,84.83,74.97,79.05,86.16,100.98,86.99,91.58,71.84,61.76,60.44,65.31,54.93
요가매트,80.55,100.0,92.85,68.73,73.71,72.91,87.35,66.48,90.49,86.7,71.75,75.76,80.3,80.17
캠핑의자,77.76,115.89,100.4,90.48,48.07,28.72,25.48,28.52,64.65,105.93,118.1,103.88,95.34,85.42
온수매트,77.66,15.48,63.67,273.71,213.13,153.69,111.2,64.84,42.89,23.92,17.47,9.68,8.71,11.24
기계식키보드,73.05,95.29,158.52,123.44,50.79,59.21,82.87,62.62,65.54,54.97,47.23,52.13,54.23,42.77
아이스박스,71.11,138.81,85.89,55.2,36.76,32.4,27.99,26.6,38.6,63.05,88.68,104.88,129.24,96.29
원터치텐트,67.9,90.81,75.75,78.15,39.39,23.83,24.23,23.87,55.58,102.78,128.3,95.28,81.23,63.5
노트북거치대,62.93,67.45,63.25,58.69,65.77,66.76,79.77,68.13,80.37,67.77,47.26,51.92,52.86,48.15
캣타워,53.92,65.52,59.23,75.92,65.13,56.73,58.18,50.33,48.0,43.93,44.62,46.18,47.43,39.82
캠핑테이블,51.65,72.33,71.81,72.49,42.06,27.4,22.77,21.39,50.68,73.25,72.07,56.0,46.03,43.18
등산스틱,51.48,43.96,52.22,67.74,72.94,64.81,59.18,39.58,54.82,58.37,51.81,41.4,31.43,31.0
고데기,49.46,60.87,49.77,49.5,48.67,54.09,54.03,52.76,57.75,48.65,46.39,39.75,43.75,37.01
차량용청소기,48.58,46.81,49.3,49.05,48.68,54.63,61.15,43.02,50.25,49.79,37.59,43.66,65.3,32.36
강아지계단,48.27,70.6,55.47,61.08,52.76,52.87,58.07,48.47,50.84,40.65,43.24,34.13,30.89,28.5
여행용캐리어,46.42,84.92,74.37,49.51,51.45,52.85,57.52,45.99,37.87,30.76,29.39,28.49,32.56,27.81
무선선풍기,46.07,60.32,18.31,8.26,4.12,3.06,3.49,4.36,12.84,46.68,138.54,135.8,118.19,44.93
서큘레이터,45.56,69.11,25.06,12.21,8.98,8.84,9.07,8.7,17.74,48.36,112.38,103.92,110.37,57.5
샤워기필터,41.73,61.82,52.94,43.88,39.77,43.65,48.96,41.16,41.77,35.69,31.51,33.13,36.38,31.84
골프백,40.53,48.89,49.66,46.74,37.36,32.85,34.68,34.42,45.32,44.35,44.08,38.98,36.97,32.64
주니어카시트,38.65,48.37,38.32,37.8,36.98,40.25,48.09,43.37,42.61,33.44,37.58,32.12,33.73,29.75
두피마사지기,38.29,50.1,58.37,47.15,39.61,38.98,44.93,41.88,38.57,33.0,30.58,25.73,26.14,22.68
마사지건,35.8,54.63,39.36,35.7,32.6,36.19,33.33,29.8,39.32,43.19,34.11,30.53,30.28,26.3
욕실선반,35.5,53.81,40.68,35.67,32.31,33.59,36.24,31.55,35.83,32.39,33.5,29.61,34.38,31.93
골프거리측정기,35.03,29.63,31.59,41.89,30.5,21.17,14.37,24.17,42.82,48.84,52.02,43.78,38.67,35.88
인라인스케이트,34.37,39.41,35.25,29.36,28.96,29.33,29.33,34.73,45.87,45.92,42.96,34.79,27.03,23.93
강아지유모차,32.46,44.96,38.78,36.05,34.11,26.18,24.62,23.81,31.14,34.22,35.26,33.04,32.05,27.77
USB허브,30.38,27.47,26.33,22.36,26.38,33.32,42.2,37.42,46.12,37.36,24.63,24.02,26.6,20.7
아기욕조,29.15,31.47,28.82,29.91,31.57,31.55,33.06,26.07,29.99,26.47,26.98,26.59,29.42,27.1
야전침대,28.83,42.52,40.47,39.41,28.41,21.14,18.05,17.72,25.39,29.21,30.7,28.47,27.74,25.6
전동드라이버,26.55,28.29,28.63,26.13,27.92,28.62,31.01,27.8,29.93,25.59,23.36,22.01,23.47,22.34
헤드랜턴,26.11,31.35,33.28,33.38,30.41,28.71,23.06,17.69,23.89,25.19,25.27,21.72,22.58,22.9
철봉,25.99,30.91,24.47,24.23,22.35,25.7,33.34,29.34,26.5,23.02,29.14,23.56,24.0,21.38
전기요,25.01,5.98,23.12,80.75,83.02,52.93,30.1,14.88,12.35,7.76,5.19,2.64,2.29,4.2
트렁크정리함,24.8,29.76,32.44,29.72,29.37,27.1,23.99,21.91,26.25,22.82,21.86,20.47,20.21,16.51
케틀벨,23.06,24.34,22.67,19.87,19.41,22.64,25.83,21.33,24.73,21.83,23.21,26.26,26.82,20.9
차박텐트,20.34,27.61,26.87,29.77,19.52,13.39,11.92,12.05,18.86,22.75,25.95,19.67,17.7,18.33
열풍기,20.25,11.5,14.29,25.0,43.53,50.75,45.07,16.72,12.25,10.51,8.68,8.24,9.28,7.39
미니제습기,19.67,23.57,19.85,17.12,10.51,10.67,9.35,8.72,12.67,16.62,31.17,27.02,51.62,16.83
신발정리대,19.64,27.26,26.79,22.97,22.81,24.58,21.2,18.19,25.06,15.7,16.03,13.82,11.9,8.96
골프스윙연습기,16.93,17.6,17.74,17.07,14.81,13.73,15.29,15.29,22.27,20.33,18.18,17.13,16.23,14.43
캠핑화로대,15.56,18.13,29.74,24.68,15.73,8.93,6.9,8.12,14.99,19.74,21.51,13.85,10.37,9.64
캠핑랜턴,14.82,16.72,26.46,27.84,17.08,9.91,6.96,7.01,12.05,16.86,17.85,12.99,10.47,10.52
자전거라이트,14.35,18.12,19.8,17.37,11.43,9.71,6.1,5.44,20.52,26.46,14.36,14.36,11.47,11.46
자전거자물쇠,14.27,15.53,16.79,14.69,15.02,12.16,11.18,10.81,17.66,18.1,17.18,14.88,11.7,9.82
캠핑난로,14.04,6.56,18.27,43.66,37.84,25.21,17.51,8.8,7.72,5.53,3.95,1.99,2.04,3.42
고양이자동화장실,13.66,22.74,17.15,14.94,15.58,12.69,14.59,13.51,12.38,10.37,10.87,10.58,11.88,10.25
차량용공기청정기,13.59,8.85,8.74,8.62,10.85,16.69,15.38,12.63,25.39,27.42,11.96,10.97,10.95,8.24
캠핑선풍기,13.54,41.21,11.3,3.1,1.77,1.28,1.36,1.57,4.39,13.81,29.46,26.72,27.14,12.89
자동차시트커버,12.86,21.01,16.47,13.56,14.15,11.15,10.86,10.55,11.37,11.48,10.92,9.81,14.32,11.55
차박매트,12.71,15.21,17.2,15.22,11.26,10.91,6.9,7.38,10.41,13.36,14.37,14.74,14.53,13.73
짐벌,12.37,15.41,16.11,13.35,13.09,13.41,12.68,10.92,13.3,12.07,11.93,9.9,9.97,8.63
태클박스,12.24,18.52,26.99,24.21,15.24,9.07,6.86,5.57,7.92,9.13,10.35,8.28,8.84,8.16
웹캠,12.16,12.71,13.34,11.23,10.91,10.77,12.72,12.0,13.95,12.54,10.61,11.03,12.97,13.34
서랍정리함,12.02,14.56,13.23,13.08,13.75,11.81,13.61,13.12,14.13,10.89,11.22,9.58,9.08,8.23
등산배낭,11.89,7.46,8.99,10.22,9.37,8.16,9.69,8.03,20.37,24.64,12.73,12.71,11.3,10.94
자동급식기,11.72,19.16,18.6,18.63,15.46,14.62,13.79,9.4,10.06,6.41,5.69,5.48,8.47,6.54
우유거품기,11.48,8.65,11.11,14.98,16.18,18.18,17.4,12.86,13.32,9.94,7.98,6.65,6.42,5.51
자동차햇빛가리개,11.3,20.55,5.29,3.41,4.12,3.45,4.12,4.81,7.26,11.9,22.38,22.48,18.9,18.23
폴더매트,11.27,14.59,10.98,19.66,19.32,13.48,10.81,7.67,9.21,7.52,8.06,8.08,9.35,7.74
압축팩,10.87,13.18,12.07,12.09,10.62,12.74,10.85,9.3,13.0,12.2,10.51,10.68,7.44,6.66
유리밀폐용기,10.73,17.75,16.68,10.99,10.96,11.13,12.2,8.09,9.84,9.4,8.36,8.75,8.4,6.89
고양이스크래쳐,10.6,18.53,12.51,13.22,17.22,15.03,14.01,7.49,7.77,6.36,6.05,6.51,6.72,6.32
밸런스보드,10.33,13.02,13.09,11.98,9.85,11.14,12.63,9.66,11.11,10.45,8.27,8.11,7.89,7.05
캠핑릴선,10.14,21.95,24.03,20.22,8.13,4.38,3.36,2.72,7.64,8.55,8.58,8.96,7.25,6.1
루프박스,9.67,15.99,15.41,15.38,10.36,7.96,8.01,6.8,7.64,8.17,9.56,7.57,6.81,6.03
와플메이커,9.42,9.55,9.87,11.9,13.35,16.53,17.21,8.67,9.51,6.5,5.55,4.44,5.3,4.12
아기식판,9.13,10.02,8.84,7.43,8.62,10.27,12.13,8.99,10.59,9.17,8.39,8.37,8.56,7.28
